# 
#                      Behavioural Data Log:
# 
#                      All trials match to the eeg trials.
#                      Valid trials are marked.
# 
#                      Subject Initials: sub_name = AI
#                      Subject Number: sub_no = 13
# 
#                      trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                      
1.00000e+00, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.00198e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.86582e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 4.60325e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.10403e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 2.00000e+00, 1.00000e+00, 5.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
7.00000e+00, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 8.19557e-01, 1.00000e+00, 0.00000e+00
8.00000e+00, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 4.23689e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 8.77480e-01, 1.00000e+00, 0.00000e+00
1.00000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 8.65614e-01, 1.00000e+00, 0.00000e+00
1.10000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.49248e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.27334e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 4.62965e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.94659e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 7.81069e-01, 1.00000e+00, 0.00000e+00
1.60000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.18565e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.28814e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
1.90000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
2.00000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.86284e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 8.12209e-01, 1.00000e+00, 0.00000e+00
2.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 4.91951e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.94464e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.17794e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 1.00000e+00, 0.00000e+00, 6.81740e-01, 1.00000e+00, 1.00000e+00
2.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.79585e-01, 1.00000e+00, 1.00000e+00
2.70000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 9.42190e-01, 1.00000e+00, 0.00000e+00
2.80000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.38343e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 4.51896e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 8.49527e-01, 1.00000e+00, 0.00000e+00
3.10000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.31615e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.39708e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
3.40000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
3.50000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.29571e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.35834e-01, 1.00000e+00, 1.00000e+00
3.70000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.07536e-01, 1.00000e+00, 1.00000e+00
3.80000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.63219e-01, 1.00000e+00, 1.00000e+00
4.10000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 1.95383e-01, 1.00000e+00, 1.00000e+00
4.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.16779e-01, 1.00000e+00, 1.00000e+00
4.30000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.31098e-01, 1.00000e+00, 1.00000e+00
4.40000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.99079e-01, 1.00000e+00, 1.00000e+00
4.50000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.75009e-01, 1.00000e+00, 1.00000e+00
4.60000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.50457e-01, 1.00000e+00, 1.00000e+00
4.70000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.29101e-01, 1.00000e+00, 1.00000e+00
4.80000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.80857e-01, 1.00000e+00, 1.00000e+00
4.90000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 1.00000e+00, 0.00000e+00, 5.52750e-01, 1.00000e+00, 1.00000e+00
5.00000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.44851e-01, 1.00000e+00, 1.00000e+00
5.10000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 9.80475e-01, 1.00000e+00, 0.00000e+00
5.20000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.36521e-01, 1.00000e+00, 1.00000e+00
5.30000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 5.44544e-01, 1.00000e+00, 1.00000e+00
5.40000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 3.49829e-01, 1.00000e+00, 1.00000e+00
5.50000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 2.81966e-01, 1.00000e+00, 1.00000e+00
5.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.50275e-01, 1.00000e+00, 1.00000e+00
5.70000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 5.19909e-01, 1.00000e+00, 1.00000e+00
5.80000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.83951e-01, 1.00000e+00, 1.00000e+00
5.90000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 1.92227e-01, 1.00000e+00, 1.00000e+00
6.00000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.67897e-01, 1.00000e+00, 1.00000e+00
6.10000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.80301e-01, 1.00000e+00, 1.00000e+00
6.20000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 4.72195e-01, 1.00000e+00, 1.00000e+00
6.30000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.13495e-01, 1.00000e+00, 1.00000e+00
6.40000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.71324e-01, 1.00000e+00, 1.00000e+00
6.50000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 1.03435e-01, 1.00000e+00, 1.00000e+00
6.60000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 1.72911e-01, 1.00000e+00, 1.00000e+00
6.70000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.53238e-01, 1.00000e+00, 1.00000e+00
6.80000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.69447e-01, 1.00000e+00, 1.00000e+00
6.90000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.45537e-01, 1.00000e+00, 1.00000e+00
7.00000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.07327e-01, 1.00000e+00, 1.00000e+00
7.10000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 1.68644e-01, 1.00000e+00, 1.00000e+00
7.20000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 3.72656e-01, 1.00000e+00, 1.00000e+00
7.30000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.75265e-01, 1.00000e+00, 1.00000e+00
7.40000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 8.67221e-01, 1.00000e+00, 0.00000e+00
7.50000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
7.60000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.46470e-01, 1.00000e+00, 1.00000e+00
7.70000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 5.28734e-01, 1.00000e+00, 1.00000e+00
7.80000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 0.00000e+00, 0.00000e+00, 3.96791e-01, 1.00000e+00, 1.00000e+00
7.90000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.36382e-01, 1.00000e+00, 1.00000e+00
8.10000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 5.06535e-01, 1.00000e+00, 1.00000e+00
8.20000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.01910e-01, 1.00000e+00, 1.00000e+00
8.30000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 1.78577e-01, 1.00000e+00, 1.00000e+00
8.40000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 5.40684e-01, 1.00000e+00, 1.00000e+00
8.50000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.35971e-01, 1.00000e+00, 1.00000e+00
8.60000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 3.44010e-01, 1.00000e+00, 1.00000e+00
8.70000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.48047e-01, 1.00000e+00, 1.00000e+00
8.80000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 5.67774e-01, 1.00000e+00, 1.00000e+00
8.90000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 3.11416e-01, 1.00000e+00, 1.00000e+00
9.00000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.28103e-01, 1.00000e+00, 1.00000e+00
9.10000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 7.50020e-01, 1.00000e+00, 0.00000e+00
9.20000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.13803e-01, 1.00000e+00, 1.00000e+00
9.30000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
9.40000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 7.25566e-01, 1.00000e+00, 0.00000e+00
9.50000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 9.29362e-01, 1.00000e+00, 0.00000e+00
9.60000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 4.75489e-01, 1.00000e+00, 1.00000e+00
9.70000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
9.90000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 7.83249e-01, 1.00000e+00, 0.00000e+00
1.00000e+02, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 3.75161e-01, 1.00000e+00, 1.00000e+00
1.01000e+02, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.27342e-01, 1.00000e+00, 1.00000e+00
1.02000e+02, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 1.60581e-01, 1.00000e+00, 1.00000e+00
1.03000e+02, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 3.66630e-01, 1.00000e+00, 1.00000e+00
1.04000e+02, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 4.36511e-01, 1.00000e+00, 1.00000e+00
1.05000e+02, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 1.94690e-01, 1.00000e+00, 1.00000e+00
1.06000e+02, 2.00000e+00, 1.00000e+00, 1.50000e-01, 0.00000e+00, 0.00000e+00, 5.82887e-01, 1.00000e+00, 1.00000e+00
1.07000e+02, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 1.15110e-01, 1.00000e+00, 1.00000e+00
1.08000e+02, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.19037e-01, 1.00000e+00, 1.00000e+00
1.09000e+02, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.62394e-01, 1.00000e+00, 1.00000e+00
1.10000e+02, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 1.82438e-01, 1.00000e+00, 1.00000e+00
1.11000e+02, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.46538e-01, 1.00000e+00, 1.00000e+00
1.12000e+02, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 1.12212e-01, 1.00000e+00, 1.00000e+00
1.13000e+02, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 3.06667e-01, 1.00000e+00, 1.00000e+00
1.14000e+02, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 4.64491e-01, 1.00000e+00, 1.00000e+00
1.15000e+02, 2.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 5.30693e-01, 1.00000e+00, 1.00000e+00
1.16000e+02, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 3.38528e-01, 1.00000e+00, 1.00000e+00
1.17000e+02, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 1.93950e-01, 1.00000e+00, 1.00000e+00
1.18000e+02, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.66524e-01, 1.00000e+00, 1.00000e+00
1.19000e+02, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 1.73690e-01, 1.00000e+00, 1.00000e+00
1.20000e+02, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 1.36304e-01, 1.00000e+00, 1.00000e+00
1.21000e+02, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 6.25319e-01, 1.00000e+00, 1.00000e+00
