# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = ASA
#                  Subject Number: sub_no = 14
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 1.00000e+00, 1.00000e+00, 3.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
2.00000e+00, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 4.13580e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.28813e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 6.89010e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.18876e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.31091e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 3.45216e-01, 1.00000e+00, 0.00000e+00
8.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 7.04846e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.18415e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 6.32870e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 6.12988e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.22756e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.54524e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.15985e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 4.51820e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 4.13877e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.43929e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 4.85083e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.71599e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.30935e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.64885e-01, 1.00000e+00, 0.00000e+00
2.20000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 4.85229e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.14819e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 7.29551e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.85180e-01, 1.00000e+00, 1.00000e+00
2.60000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.42985e-01, 1.00000e+00, 1.00000e+00
2.70000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 4.85257e-01, 1.00000e+00, 1.00000e+00
2.80000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.38994e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.39164e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 4.60854e-01, 1.00000e+00, 1.00000e+00
3.10000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.94717e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.58144e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.46233e-01, 1.00000e+00, 1.00000e+00
3.40000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.52118e-01, 1.00000e+00, 1.00000e+00
3.50000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 4.68705e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 5.36663e-01, 1.00000e+00, 1.00000e+00
3.70000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.70120e-01, 1.00000e+00, 1.00000e+00
3.80000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.52459e-01, 1.00000e+00, 0.00000e+00
3.90000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.13797e-01, 1.00000e+00, 1.00000e+00
4.00000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.63642e-01, 1.00000e+00, 1.00000e+00
4.10000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.11718e-01, 1.00000e+00, 1.00000e+00
4.20000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.17709e-01, 1.00000e+00, 1.00000e+00
4.30000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.51747e-01, 1.00000e+00, 1.00000e+00
4.40000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 4.91818e-01, 1.00000e+00, 1.00000e+00
4.50000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.69585e-01, 1.00000e+00, 1.00000e+00
4.60000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 7.05818e-01, 1.00000e+00, 1.00000e+00
4.70000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.97212e-01, 1.00000e+00, 1.00000e+00
4.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.37483e-01, 1.00000e+00, 1.00000e+00
4.90000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.29073e-01, 1.00000e+00, 1.00000e+00
5.00000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 6.89546e-01, 1.00000e+00, 1.00000e+00
5.10000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 5.12932e-01, 1.00000e+00, 1.00000e+00
5.20000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 4.20850e-01, 1.00000e+00, 1.00000e+00
5.30000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.33514e-01, 1.00000e+00, 1.00000e+00
5.40000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 1.00000e+00, 0.00000e+00, 7.18784e-01, 1.00000e+00, 1.00000e+00
5.50000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 7.05522e-01, 1.00000e+00, 1.00000e+00
5.60000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.33342e-01, 1.00000e+00, 1.00000e+00
5.70000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.22646e-01, 1.00000e+00, 1.00000e+00
5.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.90426e-01, 1.00000e+00, 1.00000e+00
5.90000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.64446e-01, 1.00000e+00, 1.00000e+00
6.00000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 5.93171e-01, 1.00000e+00, 1.00000e+00
6.10000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.94980e-01, 1.00000e+00, 1.00000e+00
6.20000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.84243e-01, 1.00000e+00, 1.00000e+00
6.30000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 0.00000e+00, 0.00000e+00, 6.40713e-01, 1.00000e+00, 1.00000e+00
6.40000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 5.60207e-01, 1.00000e+00, 1.00000e+00
6.50000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 5.70747e-01, 1.00000e+00, 1.00000e+00
6.60000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.14652e-01, 1.00000e+00, 1.00000e+00
6.70000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.72361e-01, 1.00000e+00, 0.00000e+00
6.80000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.75723e-01, 1.00000e+00, 0.00000e+00
6.90000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.02575e-01, 1.00000e+00, 0.00000e+00
7.00000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.44012e-01, 1.00000e+00, 1.00000e+00
7.10000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 4.73967e-01, 1.00000e+00, 1.00000e+00
7.20000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.99805e-01, 1.00000e+00, 1.00000e+00
7.30000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.65467e-01, 1.00000e+00, 1.00000e+00
7.40000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
7.50000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.35736e-01, 1.00000e+00, 1.00000e+00
7.60000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.01744e-01, 1.00000e+00, 1.00000e+00
