# 
#                      Behavioural Data Log:
# 
#                      All trials match to the eeg trials.
#                      Valid trials are marked.
# 
#                      Subject Initials: sub_name = AYO
#                      Subject Number: sub_no = 4
# 
#                      trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                      
1.00000e+00, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.30136e-01, 1.00000e+00, 0.00000e+00
2.00000e+00, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.04502e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 0.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 4.90727e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 0.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.06357e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 0.00000e+00, 1.00000e+00, 3.00000e-01, 0.00000e+00, 0.00000e+00, 3.08474e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.10716e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 0.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.17003e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 3.31247e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.41437e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 0.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.31591e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.81915e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 0.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.62127e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 1.60357e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.08579e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 2.18753e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.16980e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.43267e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.33482e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 2.11723e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.11984e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 0.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.46234e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.04406e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.52724e-01, 1.00000e+00, 1.00000e+00
