# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = BMU
#                  Subject Number: sub_no = 5
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 7.13706e-01, 1.00000e+00, 0.00000e+00
2.00000e+00, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 8.80074e-01, 1.00000e+00, 0.00000e+00
3.00000e+00, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 3.36274e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 4.23815e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 2.00000e+00, 1.00000e+00, 3.00000e-01, 2.00000e+00, 0.00000e+00, 8.16303e-01, 1.00000e+00, 0.00000e+00
7.00000e+00, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 4.08483e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 2.00000e+00, -1.00000e+00, 5.00000e-01, 2.00000e+00, 1.00000e+00, 3.94761e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 2.56976e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 1.75187e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 2.23441e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 8.00000e+00, 1.00000e+00, 4.41685e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 3.03888e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 2.00000e+00, 1.00000e+00, 4.84152e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 4.14335e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 2.00000e+00, 0.00000e+00, 1.98618e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 2.56891e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 3.63129e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 2.51371e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 8.00000e+00, 1.00000e+00, 3.97633e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 2.97869e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 2.28149e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 3.14373e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 2.00000e+00, 1.00000e+00, 2.94609e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 2.00000e+00, 1.00000e+00, 8.00000e-01, 8.00000e+00, 1.00000e+00, 7.60917e-01, 1.00000e+00, 0.00000e+00
2.60000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 8.00000e+00, 1.00000e+00, 6.07097e-01, 1.00000e+00, 0.00000e+00
2.70000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 2.00000e+00, 0.00000e+00, 7.51293e-01, 1.00000e+00, 0.00000e+00
2.80000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 3.39463e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 3.55767e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 3.83965e-01, 1.00000e+00, 1.00000e+00
3.10000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 2.00000e+00, 1.00000e+00, 1.62195e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 2.00000e+00, 0.00000e+00, 3.04436e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 3.54637e-01, 1.00000e+00, 1.00000e+00
3.40000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 2.76946e-01, 1.00000e+00, 1.00000e+00
3.50000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 2.25173e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 8.00000e+00, 1.00000e+00, 3.61395e-01, 1.00000e+00, 1.00000e+00
3.70000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 5.17661e-01, 1.00000e+00, 1.00000e+00
3.80000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 2.00000e+00, 1.00000e+00, 1.97857e-01, 1.00000e+00, 1.00000e+00
3.90000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 2.96071e-01, 1.00000e+00, 1.00000e+00
4.00000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 2.00000e+00, 0.00000e+00, 2.02342e-01, 1.00000e+00, 1.00000e+00
4.10000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 8.00000e+00, 1.00000e+00, 3.72606e-01, 1.00000e+00, 1.00000e+00
4.20000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 8.00000e+00, 1.00000e+00, 3.06831e-01, 1.00000e+00, 1.00000e+00
4.30000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 2.61046e-01, 1.00000e+00, 1.00000e+00
4.40000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 8.00000e+00, 1.00000e+00, 5.41270e-01, 1.00000e+00, 1.00000e+00
4.50000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 2.00000e+00, 1.00000e+00, 4.17529e-01, 1.00000e+00, 1.00000e+00
4.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 3.37720e-01, 1.00000e+00, 1.00000e+00
4.70000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 8.00000e+00, 1.00000e+00, 2.55972e-01, 1.00000e+00, 1.00000e+00
4.80000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 2.86222e-01, 1.00000e+00, 1.00000e+00
4.90000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 2.00000e+00, 0.00000e+00, 3.08480e-01, 1.00000e+00, 1.00000e+00
5.00000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 2.94688e-01, 1.00000e+00, 1.00000e+00
