# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = BU
#                  Subject Number: sub_no = 16
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 0.00000e+00, 1.00000e+00, 6.50000e-01, 0.00000e+00, 0.00000e+00, 2.25283e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 4.79400e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.08824e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-01, 1.00000e+00, 0.00000e+00, 5.28784e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-01, 1.00000e+00, 0.00000e+00, 3.98146e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 0.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.28716e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.52481e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.33886e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 0.00000e+00, -1.00000e+00, 6.50000e-01, 1.00000e+00, 0.00000e+00, 3.87866e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 3.32464e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 1.00000e+00, 0.00000e+00, 3.66374e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 0.00000e+00, 1.00000e+00, 6.50000e-01, 0.00000e+00, 0.00000e+00, 3.61953e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 0.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.68039e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 0.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 3.08011e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 0.00000e+00, -1.00000e+00, 1.50000e-01, 1.00000e+00, 0.00000e+00, 2.53833e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 0.00000e+00, 1.00000e+00, 3.00000e-01, 0.00000e+00, 0.00000e+00, 2.71200e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 1.00000e+00, 0.00000e+00, 2.65731e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 3.11789e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 1.00000e+00, 0.00000e+00, 3.21709e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 0.00000e+00, 1.00000e+00, 3.00000e-01, 0.00000e+00, 0.00000e+00, 2.15108e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 1.61816e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.05578e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 0.00000e+00, -1.00000e+00, 8.00000e-01, 1.00000e+00, 0.00000e+00, 3.21389e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 2.97054e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 1.00000e+00, 0.00000e+00, 3.59449e-01, 1.00000e+00, 1.00000e+00
2.60000e+01, 0.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.99058e-01, 1.00000e+00, 1.00000e+00
2.70000e+01, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.70763e-01, 1.00000e+00, 1.00000e+00
2.80000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.35296e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 0.00000e+00, -1.00000e+00, 6.50000e-01, 1.00000e+00, 0.00000e+00, 3.04702e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.14980e-01, 1.00000e+00, 1.00000e+00
3.10000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.58649e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 2.76780e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 0.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 2.92361e-01, 1.00000e+00, 1.00000e+00
3.40000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 0.00000e+00, 0.00000e+00, 2.36666e-01, 1.00000e+00, 1.00000e+00
3.50000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 2.48266e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 2.34193e-01, 1.00000e+00, 1.00000e+00
3.70000e+01, 0.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 2.72323e-01, 1.00000e+00, 1.00000e+00
3.80000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 6.20580e-01, 1.00000e+00, 0.00000e+00
3.90000e+01, 0.00000e+00, 1.00000e+00, 1.50000e-01, 0.00000e+00, 0.00000e+00, 3.04117e-01, 1.00000e+00, 1.00000e+00
4.00000e+01, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.88438e-01, 1.00000e+00, 1.00000e+00
4.10000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.17714e-01, 1.00000e+00, 1.00000e+00
4.20000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 2.84281e-01, 1.00000e+00, 1.00000e+00
4.30000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 1.00000e+00, 0.00000e+00, 3.83556e-01, 1.00000e+00, 1.00000e+00
4.40000e+01, 0.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 3.95676e-01, 1.00000e+00, 1.00000e+00
4.50000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 4.90249e-01, 1.00000e+00, 1.00000e+00
4.60000e+01, 0.00000e+00, 1.00000e+00, 6.50000e-01, 0.00000e+00, 0.00000e+00, 2.69980e-01, 1.00000e+00, 1.00000e+00
4.70000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.99883e-01, 1.00000e+00, 1.00000e+00
4.80000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.69911e-01, 1.00000e+00, 1.00000e+00
4.90000e+01, 0.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 3.37032e-01, 1.00000e+00, 1.00000e+00
5.00000e+01, 0.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.87154e-01, 1.00000e+00, 1.00000e+00
