# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = ENC
#                  Subject Number: sub_no = 6
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
2.00000e+00, 2.00000e+00, 1.00000e+00, 3.00000e-01, 8.00000e+00, 1.00000e+00, 8.71096e-01, 1.00000e+00, 0.00000e+00
3.00000e+00, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 7.01238e-01, 1.00000e+00, 0.00000e+00
4.00000e+00, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 8.61504e-01, 1.00000e+00, 0.00000e+00
5.00000e+00, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
7.00000e+00, 2.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
8.00000e+00, 2.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
9.00000e+00, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 4.04549e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 8.00000e+00, 1.00000e+00, 4.70804e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 8.00000e+00, 0.00000e+00, 7.74960e-01, 1.00000e+00, 0.00000e+00
1.20000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 3.13216e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 7.73513e-01, 1.00000e+00, 0.00000e+00
1.40000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 8.45781e-01, 1.00000e+00, 0.00000e+00
1.50000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 8.00000e+00, 1.00000e+00, 4.08006e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 8.00000e+00, 1.00000e+00, 7.36232e-01, 1.00000e+00, 0.00000e+00
1.70000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 8.00000e+00, 1.00000e+00, 3.96385e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 2.00000e+00, 1.00000e+00, 8.46231e-02, 1.00000e+00, 0.00000e+00
1.90000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 2.00000e+00, 1.00000e+00, 3.72863e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 3.65070e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 2.00000e+00, 1.00000e+00, 3.85287e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-02, 2.00000e+00, 1.00000e+00, 5.51552e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 3.91764e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 2.00000e+00, 1.00000e+00, 4.19980e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 2.00000e+00, 1.00000e+00, 3.68223e-01, 1.00000e+00, 1.00000e+00
2.60000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 8.00000e+00, 1.00000e+00, 7.86458e-01, 1.00000e+00, 0.00000e+00
2.70000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 2.00000e+00, 1.00000e+00, 4.50710e-01, 1.00000e+00, 1.00000e+00
2.80000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 8.00000e+00, 1.00000e+00, 6.16735e-01, 1.00000e+00, 1.00000e+00
