# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: HC
#                  Percentage of Rejected Trials: %7.12
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
1.00000e+00, 1.80000e+02, 5.00000e-02, 1.00000e+00, 3.58431e-01
2.00000e+00, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.86004e-01
3.00000e+00, 1.80000e+02, 8.00000e-01, 1.00000e+00, 3.45815e-01
4.00000e+00, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.23755e-01
5.00000e+00, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.99620e-01
6.00000e+00, 0.00000e+00, 3.00000e-01, 0.00000e+00, 3.47509e-01
7.00000e+00, 0.00000e+00, 1.50000e-01, 0.00000e+00, 2.79992e-01
9.00000e+00, 1.80000e+02, 5.00000e-01, 1.00000e+00, 1.81414e-01
1.00000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 1.57535e-01
1.10000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.55503e-01
1.20000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 2.12699e-01
1.30000e+01, 0.00000e+00, 3.00000e-01, 0.00000e+00, 1.40579e-01
1.40000e+01, 1.80000e+02, 3.00000e-01, 1.00000e+00, 1.23049e-01
1.50000e+01, 1.80000e+02, 5.00000e-02, 1.00000e+00, 2.32517e-01
1.60000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 9.62843e-02
1.70000e+01, 0.00000e+00, 3.00000e-01, 1.00000e+00, 2.72567e-01
1.80000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 6.89331e-02
1.90000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 9.68369e-02
2.00000e+01, 0.00000e+00, 1.50000e-01, 0.00000e+00, 1.66388e-01
2.10000e+01, 0.00000e+00, 5.00000e-02, 0.00000e+00, 3.20340e-01
2.20000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 9.66877e-02
2.30000e+01, 1.80000e+02, 3.00000e-01, 0.00000e+00, 5.70487e-01
2.40000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.29999e-01
