# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = MC
#                  Subject Number: sub_no = 9
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 0.00000e+00, 1.80000e+02, 6.50000e-01, 4.00000e+00, 1.00000e+00, 2.36402e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 0.00000e+00, 1.80000e+02, 5.00000e-02, 6.00000e+00, 0.00000e+00, 3.14755e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 0.00000e+00, 1.80000e+02, 3.00000e-01, 4.00000e+00, 1.00000e+00, 3.21016e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 0.00000e+00, 0.00000e+00, 5.00000e-01, 6.00000e+00, 1.00000e+00, 2.95276e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 0.00000e+00, 0.00000e+00, 5.00000e-01, 6.00000e+00, 1.00000e+00, 4.74703e-02, 1.00000e+00, 0.00000e+00
6.00000e+00, 0.00000e+00, 1.80000e+02, 1.50000e-01, 4.00000e+00, 1.00000e+00, 1.79714e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 0.00000e+00, 1.80000e+02, 6.50000e-01, 4.00000e+00, 1.00000e+00, 2.23937e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 0.00000e+00, 0.00000e+00, 1.50000e-01, 6.00000e+00, 1.00000e+00, 2.90223e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 0.00000e+00, 0.00000e+00, 6.50000e-01, 6.00000e+00, 1.00000e+00, 2.84409e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 0.00000e+00, 0.00000e+00, 5.00000e-02, 6.00000e+00, 1.00000e+00, 3.46644e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 0.00000e+00, 0.00000e+00, 1.50000e-01, 6.00000e+00, 1.00000e+00, 2.76140e-01, 1.00000e+00, 1.00000e+00
