# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = MOz
#                  Subject Number: sub_no = 1
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 6.00000e+00, 1.00000e+00, 1.80970e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 1.00000e+00, 1.00000e+00, 1.50000e-01, 6.00000e+00, 0.00000e+00, 3.25280e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
4.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 6.00000e+00, 1.00000e+00, 4.77917e-01, 1.00000e+00, 0.00000e+00
5.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 6.00000e+00, 1.00000e+00, 4.68162e-01, 1.00000e+00, 0.00000e+00
6.00000e+00, 1.00000e+00, -1.00000e+00, 6.50000e-01, 6.00000e+00, 1.00000e+00, 3.61638e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 1.00000e+00, 1.00000e+00, 1.50000e-01, 6.00000e+00, 0.00000e+00, 3.03868e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 4.00000e+00, 1.00000e+00, 6.78123e-01, 1.00000e+00, 0.00000e+00
9.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 6.00000e+00, 1.00000e+00, 3.80367e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 6.00000e+00, 1.00000e+00, 3.22589e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 4.00000e+00, 1.00000e+00, 3.30806e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 4.00000e+00, 1.00000e+00, 2.97079e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 4.00000e+00, 1.00000e+00, 4.03290e-01, 1.00000e+00, 0.00000e+00
1.40000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 6.00000e+00, 1.00000e+00, 3.89439e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 4.00000e+00, 1.00000e+00, 3.13723e-01, 1.00000e+00, 1.00000e+00
