# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PD
#                  Percentage of Rejected Trials: %0.95
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
1.00000e+00, 0.00000e+00, 1.50000e-01, 1.00000e+00, 8.09100e-01
2.00000e+00, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.01243e-01
3.00000e+00, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.91498e-01
4.00000e+00, 0.00000e+00, 1.50000e-01, 1.00000e+00, 4.53736e-01
5.00000e+00, 1.80000e+02, 8.00000e-01, 1.00000e+00, 2.39976e-01
6.00000e+00, 0.00000e+00, 8.00000e-01, 1.00000e+00, 2.36105e-01
7.00000e+00, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.82391e-01
8.00000e+00, 0.00000e+00, 6.50000e-01, 1.00000e+00, 1.67878e-01
9.00000e+00, 1.80000e+02, 5.00000e-02, 0.00000e+00, 5.80162e-01
1.00000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 2.56363e-01
1.10000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 3.04647e-01
1.20000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.08869e-01
1.30000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 1.75086e-01
1.40000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.65333e-01
1.50000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 5.41583e-01
1.60000e+01, 0.00000e+00, 5.00000e-02, 1.00000e+00, 4.93798e-01
1.70000e+01, 0.00000e+00, 5.00000e-02, 1.00000e+00, 7.70114e-01
1.80000e+01, 1.80000e+02, 6.50000e-01, 1.00000e+00, 2.52311e-01
1.90000e+01, 1.80000e+02, 5.00000e-02, 0.00000e+00, 4.78547e-01
2.00000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.30769e-01
2.10000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.39029e-01
2.20000e+01, 1.80000e+02, 1.50000e-01, 0.00000e+00, 8.53313e-01
2.30000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 1.19473e-01
2.40000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.57727e-01
2.50000e+01, 1.80000e+02, 5.00000e-02, 1.00000e+00, 3.97939e-01
2.60000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.04167e-01
2.70000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.14420e-01
2.80000e+01, 1.80000e+02, 5.00000e-01, 1.00000e+00, 2.74630e-01
2.90000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 1.64782e-01
3.00000e+01, 0.00000e+00, 5.00000e-01, 1.00000e+00, 3.13087e-01
3.10000e+01, 1.80000e+02, 1.50000e-01, 1.00000e+00, 4.35319e-01
3.20000e+01, 1.80000e+02, 1.50000e-01, 0.00000e+00, 4.03565e-01
3.30000e+01, 0.00000e+00, 6.50000e-01, 1.00000e+00, 2.91637e-01
3.40000e+01, 0.00000e+00, 5.00000e-02, -2.00000e+00, 2.00000e+00
3.50000e+01, 0.00000e+00, 3.00000e-01, 1.00000e+00, 4.02294e-01
3.60000e+01, 0.00000e+00, 5.00000e-02, 1.00000e+00, 6.02533e-01
3.70000e+01, 1.80000e+02, 3.00000e-01, 1.00000e+00, 6.52771e-01
3.80000e+01, 0.00000e+00, 8.00000e-01, 1.00000e+00, 3.12943e-01
3.90000e+01, 0.00000e+00, 3.00000e-01, 0.00000e+00, 7.01291e-01
4.00000e+01, 1.80000e+02, 1.50000e-01, 0.00000e+00, 6.55515e-01
4.10000e+01, 0.00000e+00, 3.00000e-01, 1.00000e+00, 9.17712e-01
4.20000e+01, 0.00000e+00, 3.00000e-01, 0.00000e+00, 9.87956e-01
4.30000e+01, 1.80000e+02, 8.00000e-01, 1.00000e+00, 4.40143e-01
