# 
#                  Behavioural Data Log:
#                      All trials matched to eeg trials
#                      Trial rejection according to the behavioural criteria is still needed
#                  Subject Initials: PM
#                  Percentage of Rejected Trials: %3.16
#                  
#                  trl_no, dxn, coh, isOK, rt
#                  
1.00000e+00, -1.00000e+00, 8.00000e-01, -2.00000e+00, 2.00000e+00
5.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 3.22997e-01
7.00000e+00, -1.00000e+00, 6.50000e-01, 1.00000e+00, 4.08915e-01
8.00000e+00, -1.00000e+00, 6.50000e-01, 1.00000e+00, 2.92719e-01
9.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 5.68611e-01
1.00000e+01, -1.00000e+00, 6.50000e-01, 1.00000e+00, 3.00532e-01
1.10000e+01, 1.00000e+00, 5.00000e-02, 1.00000e+00, 4.34358e-01
1.20000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 3.72673e-01
1.30000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.23933e-01
1.40000e+01, -1.00000e+00, 5.00000e-02, 0.00000e+00, 2.96444e-01
1.50000e+01, -1.00000e+00, 5.00000e-01, 1.00000e+00, 2.57754e-01
1.60000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 2.61701e-01
1.70000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.19737e-01
1.80000e+01, -1.00000e+00, 6.50000e-01, 1.00000e+00, 2.71861e-01
1.90000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 5.02383e-01
2.00000e+01, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.06191e-01
2.10000e+01, -1.00000e+00, 1.50000e-01, 0.00000e+00, 3.19447e-01
2.20000e+01, 1.00000e+00, 5.00000e-02, 1.00000e+00, 3.09469e-01
2.30000e+01, 1.00000e+00, 5.00000e-01, -2.00000e+00, 2.00000e+00
2.40000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 6.25165e-01
2.50000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.09535e-01
2.60000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 5.30021e-01
2.70000e+01, -1.00000e+00, 5.00000e-02, 0.00000e+00, 4.49033e-01
2.80000e+01, -1.00000e+00, 8.00000e-01, 1.00000e+00, 3.89808e-01
2.90000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 5.34962e-01
3.00000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 4.88912e-01
3.10000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.75653e-01
3.20000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.51533e-01
3.30000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 4.61591e-01
3.40000e+01, -1.00000e+00, 6.50000e-01, 1.00000e+00, 5.81376e-01
3.50000e+01, -1.00000e+00, 8.00000e-01, 1.00000e+00, 4.54953e-01
3.60000e+01, 1.00000e+00, 5.00000e-02, 1.00000e+00, 3.98549e-01
3.70000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.85292e-01
3.80000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.93103e-01
3.90000e+01, -1.00000e+00, 5.00000e-02, 0.00000e+00, 5.48387e-01
4.00000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 3.64906e-01
4.10000e+01, -1.00000e+00, 8.00000e-01, 1.00000e+00, 5.88879e-01
4.20000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 3.08600e-01
4.30000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 2.52277e-01
4.40000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 3.66845e-01
4.50000e+01, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.24768e-01
4.60000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 5.08661e-01
4.70000e+01, 1.00000e+00, 5.00000e-02, 1.00000e+00, 5.24250e-01
4.80000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 2.62319e-01
4.90000e+01, -1.00000e+00, 3.00000e-01, 1.00000e+00, 5.50324e-01
5.00000e+01, -1.00000e+00, 5.00000e-01, 1.00000e+00, 3.86491e-01
5.10000e+01, 1.00000e+00, 3.00000e-01, 1.00000e+00, 3.54100e-01
5.20000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.90146e-01
5.30000e+01, 1.00000e+00, 8.00000e-01, 1.00000e+00, 5.19655e-01
5.40000e+01, 1.00000e+00, 6.50000e-01, 1.00000e+00, 4.96127e-01
5.50000e+01, 1.00000e+00, 5.00000e-02, 1.00000e+00, 5.99668e-01
5.60000e+01, 1.00000e+00, 5.00000e-01, 1.00000e+00, 4.31692e-01
5.70000e+01, -1.00000e+00, 5.00000e-02, 0.00000e+00, 6.33200e-01
5.80000e+01, 1.00000e+00, 1.50000e-01, 1.00000e+00, 4.97995e-01
