# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = SA
#                  Subject Number: sub_no = 2
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 3.20277e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 2.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 2.82526e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 4.84844e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 4.55094e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.95377e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.32882e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 3.97114e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.25375e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 4.19569e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.81817e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.12094e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 2.98336e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.54572e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 3.96714e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 6.55069e-01, 1.00000e+00, 0.00000e+00
1.60000e+01, 2.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 3.23308e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.99492e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 3.37703e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 2.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 2.75959e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.88201e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.72447e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 2.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.82674e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 2.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.72931e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 5.23157e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 4.83204e-01, 1.00000e+00, 1.00000e+00
2.60000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.33567e-01, 1.00000e+00, 1.00000e+00
2.70000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 3.47781e-01, 1.00000e+00, 1.00000e+00
2.80000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.66067e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 1.90212e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 2.58521e-01, 1.00000e+00, 1.00000e+00
3.10000e+01, 2.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.88743e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 2.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 2.56997e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 2.75197e-01, 1.00000e+00, 1.00000e+00
3.40000e+01, 2.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 2.35468e-01, 1.00000e+00, 1.00000e+00
3.50000e+01, 2.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 3.57692e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 2.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.25921e-01, 1.00000e+00, 1.00000e+00
