# 
#                  Behavioural Data Log:
#                  
#                  All trials match to the eeg trials.
#                  Valid trials are marked.
#                  
#                  Subject Initials: sub_name = UK
#                  Subject Number: sub_no = 8
#                  
#                  trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                  
1.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
2.00000e+00, 0.00000e+00, 1.00000e+00, 5.00000e-02, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
3.00000e+00, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 4.94624e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 0.00000e+00, 1.00000e+00, 1.50000e-01, 0.00000e+00, 0.00000e+00, 6.94875e-01, 1.00000e+00, 0.00000e+00
5.00000e+00, 0.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 3.75076e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 6.79327e-01, 1.00000e+00, 0.00000e+00
7.00000e+00, 0.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 2.13518e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 0.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 2.21747e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 0.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 2.83235e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 5.43499e-01, 1.00000e+00, 0.00000e+00
1.10000e+01, 0.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 3.01720e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 7.05994e-01, 1.00000e+00, 0.00000e+00
1.30000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 6.26250e-01, 1.00000e+00, 0.00000e+00
1.40000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 5.14463e-01, 1.00000e+00, 0.00000e+00
1.50000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.50633e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 0.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.66898e-01, 1.00000e+00, 0.00000e+00
1.70000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 3.77130e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 4.09241e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 0.00000e+00, -1.00000e+00, 5.00000e-02, 1.00000e+00, 0.00000e+00, 7.97656e-01, 1.00000e+00, 0.00000e+00
2.00000e+01, 0.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 9.23909e-01, 1.00000e+00, 0.00000e+00
