# 
#                      Behavioural Data Log:
# 
#                      All trials match to the eeg trials.
#                      Valid trials are marked.
# 
#                      Subject Initials: sub_name = YA
#                      Subject Number: sub_no = 11
# 
#                      trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                      
1.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 6.77259e-01, 1.00000e+00, 1.00000e+00
2.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 5.03591e-01, 1.00000e+00, 1.00000e+00
3.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 4.63777e-01, 1.00000e+00, 1.00000e+00
4.00000e+00, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.77295e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.53505e-01, 1.00000e+00, 1.00000e+00
6.00000e+00, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 4.13756e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 2.25953e-01, 1.00000e+00, 1.00000e+00
8.00000e+00, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 3.32251e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.10424e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 2.60654e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 5.24946e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 3.83125e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 3.55397e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 3.05590e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 3.73843e-01, 1.00000e+00, 1.00000e+00
