# 
#                      Behavioural Data Log:
# 
#                      All trials match to the eeg trials.
#                      Valid trials are marked.
# 
#                      Subject Initials: sub_name = ZP
#                      Subject Number: sub_no = 3
# 
#                      trl_no, sxn_sq, dxn, coh, key, isOK, rt, isVld_key, isVld_rt
#                      
2.00000e+00, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 4.25355e-01, 1.00000e+00, 0.00000e+00
3.00000e+00, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 4.43576e-01, 1.00000e+00, 0.00000e+00
4.00000e+00, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 5.31071e-01, 1.00000e+00, 1.00000e+00
5.00000e+00, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 4.57309e-01, 1.00000e+00, 1.00000e+00
7.00000e+00, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 3.13717e-01, 1.00000e+00, 0.00000e+00
8.00000e+00, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.23986e-01, 1.00000e+00, 1.00000e+00
9.00000e+00, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 5.90242e-01, 1.00000e+00, 1.00000e+00
1.00000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 7.16514e-01, 1.00000e+00, 1.00000e+00
1.10000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.54714e-01, 1.00000e+00, 1.00000e+00
1.20000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 6.14983e-01, 1.00000e+00, 1.00000e+00
1.30000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 7.67211e-01, 1.00000e+00, 1.00000e+00
1.40000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.39416e-01, 1.00000e+00, 1.00000e+00
1.50000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.83691e-01, 1.00000e+00, 1.00000e+00
1.60000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.05918e-01, 1.00000e+00, 1.00000e+00
1.70000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 8.90157e-01, 1.00000e+00, 1.00000e+00
1.80000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.26367e-01, 1.00000e+00, 1.00000e+00
1.90000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.36597e-01, 1.00000e+00, 1.00000e+00
2.00000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 6.68843e-01, 1.00000e+00, 1.00000e+00
2.10000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 5.53091e-01, 1.00000e+00, 1.00000e+00
2.20000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.15280e-01, 1.00000e+00, 1.00000e+00
2.30000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.39565e-01, 1.00000e+00, 1.00000e+00
2.40000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 4.87793e-01, 1.00000e+00, 1.00000e+00
2.50000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 7.32016e-01, 1.00000e+00, 1.00000e+00
2.70000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 5.58498e-01, 1.00000e+00, 1.00000e+00
2.80000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 7.04766e-01, 1.00000e+00, 1.00000e+00
2.90000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 6.99015e-01, 1.00000e+00, 1.00000e+00
3.00000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 8.21229e-01, 1.00000e+00, 1.00000e+00
3.10000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 8.91490e-01, 1.00000e+00, 1.00000e+00
3.20000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 7.49706e-01, 1.00000e+00, 1.00000e+00
3.30000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.97917e-01, 1.00000e+00, 1.00000e+00
3.40000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 4.36109e-01, 1.00000e+00, 0.00000e+00
3.50000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.22387e-01, 1.00000e+00, 1.00000e+00
3.60000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.86614e-01, 1.00000e+00, 1.00000e+00
3.70000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.16849e-01, 1.00000e+00, 1.00000e+00
3.80000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.31093e-01, 1.00000e+00, 1.00000e+00
3.90000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.91406e-01, 1.00000e+00, 1.00000e+00
4.00000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.31548e-01, 1.00000e+00, 1.00000e+00
4.10000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 6.59809e-01, 1.00000e+00, 1.00000e+00
4.20000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 6.38055e-01, 1.00000e+00, 1.00000e+00
4.30000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 7.66322e-01, 1.00000e+00, 1.00000e+00
4.40000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 8.06540e-01, 1.00000e+00, 1.00000e+00
4.50000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.06750e-01, 1.00000e+00, 1.00000e+00
4.60000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 8.09021e-01, 1.00000e+00, 1.00000e+00
4.70000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.47216e-01, 1.00000e+00, 1.00000e+00
4.80000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.11483e-01, 1.00000e+00, 1.00000e+00
5.00000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.83919e-01, 1.00000e+00, 1.00000e+00
5.10000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 7.16195e-01, 1.00000e+00, 1.00000e+00
5.20000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 7.94398e-01, 1.00000e+00, 1.00000e+00
5.30000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.86617e-01, 1.00000e+00, 1.00000e+00
5.40000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 6.36863e-01, 1.00000e+00, 1.00000e+00
5.50000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 6.43082e-01, 1.00000e+00, 1.00000e+00
5.60000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 6.85355e-01, 1.00000e+00, 1.00000e+00
5.70000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 7.13551e-01, 1.00000e+00, 1.00000e+00
5.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.79773e-01, 1.00000e+00, 1.00000e+00
5.90000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.75976e-01, 1.00000e+00, 1.00000e+00
6.00000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 5.78225e-01, 1.00000e+00, 1.00000e+00
6.10000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 7.10443e-01, 1.00000e+00, 1.00000e+00
6.20000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.48749e-01, 1.00000e+00, 1.00000e+00
6.30000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 4.40919e-01, 1.00000e+00, 0.00000e+00
6.40000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.05148e-01, 1.00000e+00, 1.00000e+00
6.50000e+01, 1.00000e+00, 1.00000e+00, 6.50000e-01, 1.00000e+00, 1.00000e+00, 5.27311e-01, 1.00000e+00, 1.00000e+00
6.70000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 5.81679e-01, 1.00000e+00, 1.00000e+00
6.80000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
6.90000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.52302e-01, 1.00000e+00, 1.00000e+00
7.00000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 5.50535e-01, 1.00000e+00, 1.00000e+00
7.10000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 7.28794e-01, 1.00000e+00, 1.00000e+00
7.20000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 6.25020e-01, 1.00000e+00, 1.00000e+00
7.30000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 7.73287e-01, 1.00000e+00, 1.00000e+00
7.40000e+01, 1.00000e+00, -1.00000e+00, 8.00000e-01, 0.00000e+00, 1.00000e+00, 6.99520e-01, 1.00000e+00, 1.00000e+00
7.50000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.07756e-01, 1.00000e+00, 1.00000e+00
7.60000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 6.09984e-01, 1.00000e+00, 1.00000e+00
7.70000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 5.94292e-01, 1.00000e+00, 1.00000e+00
7.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.66469e-01, 1.00000e+00, 1.00000e+00
7.90000e+01, 1.00000e+00, 1.00000e+00, 1.50000e-01, 1.00000e+00, 1.00000e+00, 6.82715e-01, 1.00000e+00, 1.00000e+00
8.00000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 7.16969e-01, 1.00000e+00, 1.00000e+00
8.10000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.67192e-01, 1.00000e+00, 1.00000e+00
8.20000e+01, 1.00000e+00, 1.00000e+00, 8.00000e-01, 1.00000e+00, 1.00000e+00, 5.95345e-01, 1.00000e+00, 1.00000e+00
8.30000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 5.11665e-01, 1.00000e+00, 1.00000e+00
8.40000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 5.07915e-01, 1.00000e+00, 1.00000e+00
8.50000e+01, 1.00000e+00, -1.00000e+00, 6.50000e-01, 0.00000e+00, 1.00000e+00, 6.42056e-01, 1.00000e+00, 1.00000e+00
8.60000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-01, 0.00000e+00, 1.00000e+00, 5.08383e-01, 1.00000e+00, 1.00000e+00
8.70000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 7.72662e-01, 1.00000e+00, 1.00000e+00
8.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 7.92909e-01, 1.00000e+00, 1.00000e+00
8.90000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 8.37104e-01, 1.00000e+00, 1.00000e+00
9.00000e+01, 1.00000e+00, -1.00000e+00, 3.00000e-01, 0.00000e+00, 1.00000e+00, 8.05374e-01, 1.00000e+00, 1.00000e+00
9.10000e+01, 1.00000e+00, 1.00000e+00, 3.00000e-01, 1.00000e+00, 1.00000e+00, 6.67555e-01, 1.00000e+00, 1.00000e+00
9.20000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.63822e-01, 1.00000e+00, 1.00000e+00
9.30000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-01, 1.00000e+00, 1.00000e+00, 5.56068e-01, 1.00000e+00, 1.00000e+00
9.40000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, -2.00000e+00, -2.00000e+00, 2.00000e+00, 0.00000e+00, 1.00000e+00
9.50000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 0.00000e+00, 0.00000e+00, 7.00522e-01, 1.00000e+00, 1.00000e+00
9.60000e+01, 1.00000e+00, -1.00000e+00, 5.00000e-02, 0.00000e+00, 1.00000e+00, 7.10737e-01, 1.00000e+00, 1.00000e+00
9.70000e+01, 1.00000e+00, -1.00000e+00, 1.50000e-01, 0.00000e+00, 1.00000e+00, 5.48983e-01, 1.00000e+00, 1.00000e+00
9.80000e+01, 1.00000e+00, 1.00000e+00, 5.00000e-02, 1.00000e+00, 1.00000e+00, 7.41210e-01, 1.00000e+00, 1.00000e+00
