# Data for Sigmoid (qKey1) Psychophysical Curve Fitting
# sub_no, mot, coh, qKey1, qTrl
1, 0.0, -0.8, 0.0, 17
1, 0.0, -0.65, 0.0, 17
1, 0.0, -0.5, 0.0, 19
1, 0.0, -0.3, 0.0, 16
1, 0.0, -0.15, 3.0, 18
1, 0.0, -0.05, 8.0, 14
1, 0.0, 0.05, 9.0, 18
1, 0.0, 0.15, 14.0, 19
1, 0.0, 0.3, 18.0, 18
1, 0.0, 0.5, 19.0, 19
1, 0.0, 0.65, 18.0, 18
1, 0.0, 0.8, 18.0, 18
1, 1.0, -0.8, 0.0, 18
1, 1.0, -0.65, 0.0, 19
1, 1.0, -0.5, 0.0, 16
1, 1.0, -0.3, 0.0, 19
1, 1.0, -0.15, 2.0, 17
1, 1.0, -0.05, 8.0, 16
1, 1.0, 0.05, 11.0, 16
1, 1.0, 0.15, 15.0, 19
1, 1.0, 0.3, 20.0, 20
1, 1.0, 0.5, 17.0, 18
1, 1.0, 0.65, 17.0, 17
1, 1.0, 0.8, 18.0, 18
1, 2.0, -0.8, 0.0, 19
1, 2.0, -0.65, 0.0, 15
1, 2.0, -0.5, 0.0, 19
1, 2.0, -0.3, 0.0, 19
1, 2.0, -0.15, 0.0, 17
1, 2.0, -0.05, 14.0, 17
1, 2.0, 0.05, 14.0, 16
1, 2.0, 0.15, 20.0, 20
1, 2.0, 0.3, 20.0, 20
1, 2.0, 0.5, 18.0, 18
1, 2.0, 0.65, 18.0, 18
1, 2.0, 0.8, 18.0, 18
2, 0.0, -0.8, 0.0, 10
2, 0.0, -0.65, 5.0, 15
2, 0.0, -0.5, 5.0, 19
2, 0.0, -0.3, 6.0, 13
2, 0.0, -0.15, 4.0, 15
2, 0.0, -0.05, 10.0, 15
2, 0.0, 0.05, 10.0, 15
2, 0.0, 0.15, 12.0, 15
2, 0.0, 0.3, 13.0, 17
2, 0.0, 0.5, 13.0, 15
2, 0.0, 0.65, 17.0, 17
2, 0.0, 0.8, 16.0, 16
2, 1.0, -0.8, 0.0, 15
2, 1.0, -0.65, 0.0, 16
2, 1.0, -0.5, 0.0, 15
2, 1.0, -0.3, 0.0, 18
2, 1.0, -0.15, 1.0, 16
2, 1.0, -0.05, 11.0, 18
2, 1.0, 0.05, 10.0, 16
2, 1.0, 0.15, 18.0, 19
2, 1.0, 0.3, 14.0, 14
2, 1.0, 0.5, 20.0, 20
2, 1.0, 0.65, 15.0, 15
2, 1.0, 0.8, 19.0, 19
2, 2.0, -0.8, 0.0, 19
2, 2.0, -0.65, 0.0, 20
2, 2.0, -0.5, 0.0, 16
2, 2.0, -0.3, 0.0, 19
2, 2.0, -0.15, 0.0, 19
2, 2.0, -0.05, 14.0, 15
2, 2.0, 0.05, 16.0, 18
2, 2.0, 0.15, 20.0, 20
2, 2.0, 0.3, 18.0, 18
2, 2.0, 0.5, 20.0, 20
2, 2.0, 0.65, 19.0, 19
2, 2.0, 0.8, 19.0, 19
3, 0.0, -0.8, 0.0, 18
3, 0.0, -0.65, 0.0, 16
3, 0.0, -0.5, 1.0, 19
3, 0.0, -0.3, 2.0, 19
3, 0.0, -0.15, 3.0, 20
3, 0.0, -0.05, 0.0, 19
3, 0.0, 0.05, 3.0, 20
3, 0.0, 0.15, 5.0, 20
3, 0.0, 0.3, 7.0, 16
3, 0.0, 0.5, 10.0, 18
3, 0.0, 0.65, 15.0, 17
3, 0.0, 0.8, 19.0, 19
3, 1.0, -0.8, 0.0, 19
3, 1.0, -0.65, 0.0, 19
3, 1.0, -0.5, 0.0, 19
3, 1.0, -0.3, 0.0, 20
3, 1.0, -0.15, 0.0, 20
3, 1.0, -0.05, 3.0, 17
3, 1.0, 0.05, 7.0, 15
3, 1.0, 0.15, 15.0, 16
3, 1.0, 0.3, 18.0, 18
3, 1.0, 0.5, 20.0, 20
3, 1.0, 0.65, 19.0, 19
3, 1.0, 0.8, 20.0, 20
3, 2.0, -0.8, 0.0, 18
3, 2.0, -0.65, 0.0, 17
3, 2.0, -0.5, 0.0, 17
3, 2.0, -0.3, 0.0, 18
3, 2.0, -0.15, 1.0, 17
3, 2.0, -0.05, 9.0, 17
3, 2.0, 0.05, 12.0, 18
3, 2.0, 0.15, 19.0, 19
3, 2.0, 0.3, 18.0, 18
3, 2.0, 0.5, 18.0, 18
3, 2.0, 0.65, 17.0, 17
3, 2.0, 0.8, 18.0, 18
4, 0.0, -0.8, 0.0, 17
4, 0.0, -0.65, 0.0, 20
4, 0.0, -0.5, 0.0, 15
4, 0.0, -0.3, 1.0, 19
4, 0.0, -0.15, 0.0, 20
4, 0.0, -0.05, 3.0, 17
4, 0.0, 0.05, 3.0, 19
4, 0.0, 0.15, 7.0, 16
4, 0.0, 0.3, 13.0, 18
4, 0.0, 0.5, 17.0, 19
4, 0.0, 0.65, 17.0, 17
4, 0.0, 0.8, 20.0, 20
4, 1.0, -0.8, 0.0, 20
4, 1.0, -0.65, 0.0, 18
4, 1.0, -0.5, 0.0, 17
4, 1.0, -0.3, 0.0, 19
4, 1.0, -0.15, 0.0, 18
4, 1.0, -0.05, 2.0, 19
4, 1.0, 0.05, 8.0, 17
4, 1.0, 0.15, 16.0, 17
4, 1.0, 0.3, 18.0, 18
4, 1.0, 0.5, 19.0, 20
4, 1.0, 0.65, 17.0, 17
4, 1.0, 0.8, 18.0, 18
4, 2.0, -0.8, 0.0, 20
4, 2.0, -0.65, 0.0, 19
4, 2.0, -0.5, 0.0, 18
4, 2.0, -0.3, 0.0, 19
4, 2.0, -0.15, 0.0, 19
4, 2.0, -0.05, 9.0, 16
4, 2.0, 0.05, 12.0, 13
4, 2.0, 0.15, 20.0, 20
4, 2.0, 0.3, 20.0, 20
4, 2.0, 0.5, 20.0, 20
4, 2.0, 0.65, 17.0, 17
4, 2.0, 0.8, 19.0, 19
5, 0.0, -0.8, 0.0, 19
5, 0.0, -0.65, 1.0, 16
5, 0.0, -0.5, 1.0, 18
5, 0.0, -0.3, 9.0, 15
5, 0.0, -0.15, 9.0, 17
5, 0.0, -0.05, 7.0, 18
5, 0.0, 0.05, 7.0, 18
5, 0.0, 0.15, 9.0, 19
5, 0.0, 0.3, 6.0, 18
5, 0.0, 0.5, 9.0, 19
5, 0.0, 0.65, 14.0, 17
5, 0.0, 0.8, 19.0, 19
5, 1.0, -0.8, 0.0, 20
5, 1.0, -0.65, 0.0, 20
5, 1.0, -0.5, 0.0, 19
5, 1.0, -0.3, 0.0, 20
5, 1.0, -0.15, 0.0, 18
5, 1.0, -0.05, 5.0, 18
5, 1.0, 0.05, 15.0, 20
5, 1.0, 0.15, 16.0, 18
5, 1.0, 0.3, 20.0, 20
5, 1.0, 0.5, 20.0, 20
5, 1.0, 0.65, 20.0, 20
5, 1.0, 0.8, 18.0, 18
5, 2.0, -0.8, 0.0, 18
5, 2.0, -0.65, 0.0, 17
5, 2.0, -0.5, 0.0, 18
5, 2.0, -0.3, 0.0, 17
5, 2.0, -0.15, 6.0, 17
5, 2.0, -0.05, 6.0, 18
5, 2.0, 0.05, 7.0, 18
5, 2.0, 0.15, 6.0, 18
5, 2.0, 0.3, 9.0, 14
5, 2.0, 0.5, 18.0, 19
5, 2.0, 0.65, 17.0, 18
5, 2.0, 0.8, 17.0, 17
6, 0.0, -0.8, 0.0, 20
6, 0.0, -0.65, 0.0, 20
6, 0.0, -0.5, 0.0, 18
6, 0.0, -0.3, 2.0, 19
6, 0.0, -0.15, 4.0, 17
6, 0.0, -0.05, 4.0, 19
6, 0.0, 0.05, 6.0, 17
6, 0.0, 0.15, 10.0, 19
6, 0.0, 0.3, 14.0, 19
6, 0.0, 0.5, 18.0, 18
6, 0.0, 0.65, 19.0, 19
6, 0.0, 0.8, 20.0, 20
6, 1.0, -0.8, 0.0, 19
6, 1.0, -0.65, 0.0, 20
6, 1.0, -0.5, 0.0, 19
6, 1.0, -0.3, 0.0, 19
6, 1.0, -0.15, 1.0, 18
6, 1.0, -0.05, 8.0, 18
6, 1.0, 0.05, 12.0, 16
6, 1.0, 0.15, 16.0, 16
6, 1.0, 0.3, 18.0, 18
6, 1.0, 0.5, 14.0, 14
6, 1.0, 0.65, 18.0, 18
6, 1.0, 0.8, 20.0, 20
6, 2.0, -0.8, 0.0, 16
6, 2.0, -0.65, 1.0, 18
6, 2.0, -0.5, 0.0, 18
6, 2.0, -0.3, 0.0, 19
6, 2.0, -0.15, 2.0, 9
6, 2.0, -0.05, 16.0, 17
6, 2.0, 0.05, 15.0, 16
6, 2.0, 0.15, 15.0, 15
6, 2.0, 0.3, 18.0, 18
6, 2.0, 0.5, 18.0, 18
6, 2.0, 0.65, 17.0, 17
6, 2.0, 0.8, 18.0, 18
7, 0.0, -0.8, 6.0, 19
7, 0.0, -0.65, 4.0, 19
7, 0.0, -0.5, 5.0, 19
7, 0.0, -0.3, 7.0, 18
7, 0.0, -0.15, 11.0, 20
7, 0.0, -0.05, 13.0, 17
7, 0.0, 0.05, 12.0, 20
7, 0.0, 0.15, 11.0, 18
7, 0.0, 0.3, 11.0, 19
7, 0.0, 0.5, 10.0, 19
7, 0.0, 0.65, 15.0, 20
7, 0.0, 0.8, 19.0, 20
7, 1.0, -0.8, 0.0, 20
7, 1.0, -0.65, 0.0, 18
7, 1.0, -0.5, 0.0, 17
7, 1.0, -0.3, 0.0, 19
7, 1.0, -0.15, 1.0, 19
7, 1.0, -0.05, 5.0, 20
7, 1.0, 0.05, 8.0, 17
7, 1.0, 0.15, 16.0, 19
7, 1.0, 0.3, 19.0, 19
7, 1.0, 0.5, 19.0, 19
7, 1.0, 0.65, 18.0, 18
7, 1.0, 0.8, 17.0, 17
7, 2.0, -0.8, 1.0, 18
7, 2.0, -0.65, 0.0, 17
7, 2.0, -0.5, 0.0, 20
7, 2.0, -0.3, 1.0, 18
