# Data for Psychophysical Curve Fitting
    # sub_no, mot, coh, qOk, qTrl
    1, 0.0, 0.05, 15.0, 32
1, 0.0, 0.15, 29.0, 37
1, 0.0, 0.3, 34.0, 34
1, 0.0, 0.5, 38.0, 38
1, 0.0, 0.65, 35.0, 35
1, 0.0, 0.8, 35.0, 35
1, 1.0, 0.05, 19.0, 32
1, 1.0, 0.15, 30.0, 36
1, 1.0, 0.3, 39.0, 39
1, 1.0, 0.5, 33.0, 34
1, 1.0, 0.65, 36.0, 36
1, 1.0, 0.8, 36.0, 36
1, 2.0, 0.05, 17.0, 33
1, 2.0, 0.15, 37.0, 37
1, 2.0, 0.3, 39.0, 39
1, 2.0, 0.5, 37.0, 37
1, 2.0, 0.65, 33.0, 33
1, 2.0, 0.8, 37.0, 37
2, 0.0, 0.05, 15.0, 30
2, 0.0, 0.15, 23.0, 30
2, 0.0, 0.3, 20.0, 30
2, 0.0, 0.5, 27.0, 34
2, 0.0, 0.65, 27.0, 32
2, 0.0, 0.8, 26.0, 26
2, 1.0, 0.05, 17.0, 34
2, 1.0, 0.15, 33.0, 35
2, 1.0, 0.3, 32.0, 32
2, 1.0, 0.5, 35.0, 35
2, 1.0, 0.65, 31.0, 31
2, 1.0, 0.8, 34.0, 34
2, 2.0, 0.05, 17.0, 33
2, 2.0, 0.15, 39.0, 39
2, 2.0, 0.3, 37.0, 37
2, 2.0, 0.5, 36.0, 36
2, 2.0, 0.65, 39.0, 39
2, 2.0, 0.8, 38.0, 38
3, 0.0, 0.05, 22.0, 39
3, 0.0, 0.15, 22.0, 40
3, 0.0, 0.3, 24.0, 35
3, 0.0, 0.5, 28.0, 37
3, 0.0, 0.65, 31.0, 33
3, 0.0, 0.8, 37.0, 37
3, 1.0, 0.05, 21.0, 32
3, 1.0, 0.15, 35.0, 36
3, 1.0, 0.3, 38.0, 38
3, 1.0, 0.5, 39.0, 39
3, 1.0, 0.65, 38.0, 38
3, 1.0, 0.8, 39.0, 39
3, 2.0, 0.05, 20.0, 35
3, 2.0, 0.15, 35.0, 36
3, 2.0, 0.3, 36.0, 36
3, 2.0, 0.5, 35.0, 35
3, 2.0, 0.65, 34.0, 34
3, 2.0, 0.8, 36.0, 36
4, 0.0, 0.05, 17.0, 36
4, 0.0, 0.15, 27.0, 36
4, 0.0, 0.3, 31.0, 37
4, 0.0, 0.5, 32.0, 34
4, 0.0, 0.65, 37.0, 37
4, 0.0, 0.8, 37.0, 37
4, 1.0, 0.05, 25.0, 36
4, 1.0, 0.15, 34.0, 35
4, 1.0, 0.3, 37.0, 37
4, 1.0, 0.5, 36.0, 37
4, 1.0, 0.65, 35.0, 35
4, 1.0, 0.8, 38.0, 38
4, 2.0, 0.05, 19.0, 29
4, 2.0, 0.15, 39.0, 39
4, 2.0, 0.3, 39.0, 39
4, 2.0, 0.5, 38.0, 38
4, 2.0, 0.65, 36.0, 36
4, 2.0, 0.8, 39.0, 39
5, 0.0, 0.05, 18.0, 36
5, 0.0, 0.15, 17.0, 36
5, 0.0, 0.3, 12.0, 33
5, 0.0, 0.5, 26.0, 37
5, 0.0, 0.65, 29.0, 33
5, 0.0, 0.8, 38.0, 38
5, 1.0, 0.05, 28.0, 38
5, 1.0, 0.15, 34.0, 36
5, 1.0, 0.3, 40.0, 40
5, 1.0, 0.5, 39.0, 39
5, 1.0, 0.65, 40.0, 40
5, 1.0, 0.8, 38.0, 38
5, 2.0, 0.05, 19.0, 36
5, 2.0, 0.15, 17.0, 35
5, 2.0, 0.3, 26.0, 31
5, 2.0, 0.5, 36.0, 37
5, 2.0, 0.65, 34.0, 35
5, 2.0, 0.8, 35.0, 35
6, 0.0, 0.05, 21.0, 36
6, 0.0, 0.15, 23.0, 36
6, 0.0, 0.3, 31.0, 38
6, 0.0, 0.5, 36.0, 36
6, 0.0, 0.65, 39.0, 39
6, 0.0, 0.8, 40.0, 40
6, 1.0, 0.05, 22.0, 34
6, 1.0, 0.15, 33.0, 34
6, 1.0, 0.3, 37.0, 37
6, 1.0, 0.5, 33.0, 33
6, 1.0, 0.65, 38.0, 38
6, 1.0, 0.8, 39.0, 39
6, 2.0, 0.05, 16.0, 33
6, 2.0, 0.15, 22.0, 24
6, 2.0, 0.3, 37.0, 37
6, 2.0, 0.5, 36.0, 36
6, 2.0, 0.65, 34.0, 35
6, 2.0, 0.8, 34.0, 34
7, 0.0, 0.05, 16.0, 37
7, 0.0, 0.15, 20.0, 38
7, 0.0, 0.3, 22.0, 37
7, 0.0, 0.5, 24.0, 38
7, 0.0, 0.65, 30.0, 39
7, 0.0, 0.8, 32.0, 39
7, 1.0, 0.05, 23.0, 37
7, 1.0, 0.15, 34.0, 38
7, 1.0, 0.3, 38.0, 38
7, 1.0, 0.5, 36.0, 36
7, 1.0, 0.65, 36.0, 36
7, 1.0, 0.8, 37.0, 37
7, 2.0, 0.05, 17.0, 34
7, 2.0, 0.15, 28.0, 35
7, 2.0, 0.3, 36.0, 37
7, 2.0, 0.5, 39.0, 39
7, 2.0, 0.65, 35.0, 35
7, 2.0, 0.8, 36.0, 37
8, 0.0, 0.05, 10.0, 30
8, 0.0, 0.15, 17.0, 33
8, 0.0, 0.3, 31.0, 39
8, 0.0, 0.5, 35.0, 36
8, 0.0, 0.65, 32.0, 32
8, 0.0, 0.8, 35.0, 35
8, 1.0, 0.05, 24.0, 34
8, 1.0, 0.15, 33.0, 36
8, 1.0, 0.3, 30.0, 30
8, 1.0, 0.5, 32.0, 32
8, 1.0, 0.65, 31.0, 31
8, 1.0, 0.8, 33.0, 33
8, 2.0, 0.05, 18.0, 33
8, 2.0, 0.15, 33.0, 38
8, 2.0, 0.3, 39.0, 39
8, 2.0, 0.5, 32.0, 32
8, 2.0, 0.65, 36.0, 36
8, 2.0, 0.8, 33.0, 33
9, 0.0, 0.05, 23.0, 36
9, 0.0, 0.15, 19.0, 33
9, 0.0, 0.3, 27.0, 36
9, 0.0, 0.5, 30.0, 34
9, 0.0, 0.65, 33.0, 35
9, 0.0, 0.8, 36.0, 36
9, 1.0, 0.05, 13.0, 21
9, 1.0, 0.15, 27.0, 28
9, 1.0, 0.3, 29.0, 29
9, 1.0, 0.5, 32.0, 32
9, 1.0, 0.65, 32.0, 32
9, 1.0, 0.8, 31.0, 31
9, 2.0, 0.05, 20.0, 33
9, 2.0, 0.15, 35.0, 37
9, 2.0, 0.3, 37.0, 37
9, 2.0, 0.5, 34.0, 34
9, 2.0, 0.65, 34.0, 35
9, 2.0, 0.8, 32.0, 32
10, 0.0, 0.05, 19.0, 36
10, 0.0, 0.15, 19.0, 39
10, 0.0, 0.3, 26.0, 37
10, 0.0, 0.5, 30.0, 37
10, 0.0, 0.65, 33.0, 36
10, 0.0, 0.8, 38.0, 38
10, 1.0, 0.05, 24.0, 38
10, 1.0, 0.15, 33.0, 37
10, 1.0, 0.3, 40.0, 40
10, 1.0, 0.5, 39.0, 39
10, 1.0, 0.65, 39.0, 39
10, 1.0, 0.8, 40.0, 40
10, 2.0, 0.05, 18.0, 33
10, 2.0, 0.15, 37.0, 38
10, 2.0, 0.3, 40.0, 40
10, 2.0, 0.5, 38.0, 38
10, 2.0, 0.65, 40.0, 40
10, 2.0, 0.8, 37.0, 37
11, 0.0, 0.05, 20.0, 39
11, 0.0, 0.15, 17.0, 34
11, 0.0, 0.3, 25.0, 33
11, 0.0, 0.5, 29.0, 38
11, 0.0, 0.65, 33.0, 40
11, 0.0, 0.8, 36.0, 37
11, 1.0, 0.05, 14.0, 39
11, 1.0, 0.15, 35.0, 40
11, 1.0, 0.3, 39.0, 39
11, 1.0, 0.5, 39.0, 39
11, 1.0, 0.65, 40.0, 40
11, 1.0, 0.8, 40.0, 40
11, 2.0, 0.05, 21.0, 38
11, 2.0, 0.15, 34.0, 35
11, 2.0, 0.3, 37.0, 37
11, 2.0, 0.5, 35.0, 35
11, 2.0, 0.65, 34.0, 34
11, 2.0, 0.8, 35.0, 37
12, 0.0, 0.05, 18.0, 32
12, 0.0, 0.15, 16.0, 29
12, 0.0, 0.3, 18.0, 32
12, 0.0, 0.5, 37.0, 39
12, 0.0, 0.65, 35.0, 36
12, 0.0, 0.8, 37.0, 37
12, 1.0, 0.05, 22.0, 37
12, 1.0, 0.15, 36.0, 40
12, 1.0, 0.3, 37.0, 37
12, 1.0, 0.5, 40.0, 40
12, 1.0, 0.65, 40.0, 40
12, 1.0, 0.8, 38.0, 38
12, 2.0, 0.05, 21.0, 34
12, 2.0, 0.15, 32.0, 33
12, 2.0, 0.3, 33.0, 33
12, 2.0, 0.5, 39.0, 39
12, 2.0, 0.65, 33.0, 33
12, 2.0, 0.8, 35.0, 36
13, 0.0, 0.05, 16.0, 36
13, 0.0, 0.15, 20.0, 34
13, 0.0, 0.3, 25.0, 36
13, 0.0, 0.5, 32.0, 35
13, 0.0, 0.65, 34.0, 35
13, 0.0, 0.8, 33.0, 33
13, 1.0, 0.05, 21.0, 31
13, 1.0, 0.15, 34.0, 35
13, 1.0, 0.3, 29.0, 29
13, 1.0, 0.5, 28.0, 28
13, 1.0, 0.65, 35.0, 35
13, 1.0, 0.8, 28.0, 28
13, 2.0, 0.05, 18.0, 32
13, 2.0, 0.15, 19.0, 32
13, 2.0, 0.3, 37.0, 37
13, 2.0, 0.5, 34.0, 34
13, 2.0, 0.65, 32.0, 33
13, 2.0, 0.8, 31.0, 31
14, 0.0, 0.05, 17.0, 37
14, 0.0, 0.15, 22.0, 37
14, 0.0, 0.3, 31.0, 38
14, 0.0, 0.5, 35.0, 36
14, 0.0, 0.65, 32.0, 34
14, 0.0, 0.8, 37.0, 37
14, 1.0, 0.05, 19.0, 31
14, 1.0, 0.15, 27.0, 35
14, 1.0, 0.3, 32.0, 32
14, 1.0, 0.5, 39.0, 39
14, 1.0, 0.65, 39.0, 39
14, 1.0, 0.8, 37.0, 37
14, 2.0, 0.05, 20.0, 36
14, 2.0, 0.15, 34.0, 35
14, 2.0, 0.3, 39.0, 39
14, 2.0, 0.5, 38.0, 38
14, 2.0, 0.65, 34.0, 34
14, 2.0, 0.8, 38.0, 38
15, 0.0, 0.05, 15.0, 33
15, 0.0, 0.15, 12.0, 31
15, 0.0, 0.3, 15.0, 27
15, 0.0, 0.5, 17.0, 19
15, 0.0, 0.65, 9.0, 9
15, 0.0, 0.8, 17.0, 17
15, 1.0, 0.05, 25.0, 36
15, 1.0, 0.15, 29.0, 34
15, 1.0, 0.3, 37.0, 37
15, 1.0, 0.5, 39.0, 39
15, 1.0, 0.65, 39.0, 39
15, 1.0, 0.8, 36.0, 36
15, 2.0, 0.05, 18.0, 27
15, 2.0, 0.15, 27.0, 27
15, 2.0, 0.3, 18.0, 18
15, 2.0, 0.5, 9.0, 9
15, 2.0, 0.65, 9.0, 9
15, 2.0, 0.8, 10.0, 10
16, 0.0, 0.05, 22.0, 36
16, 0.0, 0.15, 22.0, 37
16, 0.0, 0.3, 20.0, 39
16, 0.0, 0.5, 23.0, 40
16, 0.0, 0.65, 20.0, 39
16, 0.0, 0.8, 30.0, 39
16, 1.0, 0.05, 23.0, 38
16, 1.0, 0.15, 33.0, 34
16, 1.0, 0.3, 37.0, 37
